Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-10-03 11:47:42,2018-10-03 11:49:19,"1m - 36,917s",FAILED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbedCodeCheckBtn,Chrome 69.0.3497.100,,2018-10-03 11:47:42,2018-10-03 11:48:23,"40,155s",FAILED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 11:47:43,2018-10-03 11:47:47,"4,237s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 11:47:47,2018-10-03 11:48:22,"34,914s",FAILED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 11:48:22,2018-10-03 11:48:23,"0,597s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbedCodeThumbnailLinkDisplayPlayIconChecked,Chrome 69.0.3497.100,,2018-10-03 11:48:23,2018-10-03 11:49:00,"37,289s",FAILED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 11:48:23,2018-10-03 11:48:25,"2,003s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 11:48:25,2018-10-03 11:48:59,"34,434s",FAILED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 11:48:59,2018-10-03 11:49:00,"0,592s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeFullPage,Chrome 69.0.3497.100,,2018-10-03 11:49:00,2018-10-03 11:49:19,"18,965s",PASSED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 11:49:00,2018-10-03 11:49:02,"1,955s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 11:49:02,2018-10-03 11:49:06,"4,114s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 11:49:06,2018-10-03 11:49:12,"5,905s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:49:12,2018-10-03 11:49:12,"0,165s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-03 11:49:12,2018-10-03 11:49:12,"0,047s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 11:49:12,2018-10-03 11:49:13,"0,550s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:49:13,2018-10-03 11:49:13,"0,101s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-03 11:49:13,2018-10-03 11:49:18,"5,020s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 11:49:18,2018-10-03 11:49:18,"0,050s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:49:18,2018-10-03 11:49:18,"0,150s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 11:49:18,2018-10-03 11:49:18,"0,053s",PASSED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 11:49:18,2018-10-03 11:49:19,"0,708s",PASSED
