Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-10-03 16:46:26,2018-10-03 16:47:34,"1m - 8,172s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbedCodeCheckBtn,Chrome 69.0.3497.100,,2018-10-03 16:46:27,2018-10-03 16:46:47,"20,351s",PASSED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 16:46:27,2018-10-03 16:46:31,"3,922s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 16:46:31,2018-10-03 16:46:39,"7,566s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-03 16:46:39,2018-10-03 16:46:45,"6,333s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 16:46:45,2018-10-03 16:46:45,"0,614s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-03 16:46:45,2018-10-03 16:46:46,"0,017s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-03 16:46:46,2018-10-03 16:46:46,"0,591s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 16:46:46,2018-10-03 16:46:46,"0,089s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-10-03 16:46:46,2018-10-03 16:46:46,"0,074s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 16:46:46,2018-10-03 16:46:46,"0,051s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-03 16:46:46,2018-10-03 16:46:46,"0,052s",PASSED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 16:46:46,2018-10-03 16:46:47,"0,606s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbedCodeThumbnailLinkDisplayPlayIconChecked,Chrome 69.0.3497.100,,2018-10-03 16:46:47,2018-10-03 16:47:13,"26,362s",PASSED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 16:46:47,2018-10-03 16:46:49,"1,961s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 16:46:49,2018-10-03 16:46:54,"4,932s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-03 16:46:54,2018-10-03 16:47:01,"6,739s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 16:47:01,2018-10-03 16:47:01,"0,255s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-03 16:47:01,2018-10-03 16:47:01,"0,043s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-03 16:47:01,2018-10-03 16:47:02,"0,590s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 16:47:02,2018-10-03 16:47:02,"0,285s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-10-03 16:47:02,2018-10-03 16:47:02,"0,248s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 16:47:02,2018-10-03 16:47:02,"0,170s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-03 16:47:02,2018-10-03 16:47:02,"0,098s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-03 16:47:02,2018-10-03 16:47:08,"5,026s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 16:47:08,2018-10-03 16:47:08,"0,146s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-03 16:47:08,2018-10-03 16:47:13,"5,004s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 16:47:13,2018-10-03 16:47:13,"0,058s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 16:47:13,2018-10-03 16:47:13,"0,033s",PASSED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 16:47:13,2018-10-03 16:47:13,"0,593s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeFullPage,Chrome 69.0.3497.100,,2018-10-03 16:47:13,2018-10-03 16:47:34,"20,994s",PASSED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 16:47:13,2018-10-03 16:47:15,"1,988s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 16:47:16,2018-10-03 16:47:21,"5,474s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 16:47:21,2018-10-03 16:47:28,"6,874s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 16:47:28,2018-10-03 16:47:28,"0,081s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-03 16:47:28,2018-10-03 16:47:28,"0,008s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 16:47:28,2018-10-03 16:47:28,"0,537s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 16:47:28,2018-10-03 16:47:29,"0,101s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-03 16:47:29,2018-10-03 16:47:34,"5,003s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 16:47:34,2018-10-03 16:47:34,"0,037s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 16:47:34,2018-10-03 16:47:34,"0,103s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 16:47:34,2018-10-03 16:47:34,"0,028s",PASSED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 16:47:34,2018-10-03 16:47:34,"0,577s",PASSED
