Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-09-27 18:51:29,2018-09-27 18:51:47,"18,638s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeCheckBtn,Chrome 69.0.3497.100,,2018-09-27 18:51:29,2018-09-27 18:51:47,"17,470s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 18:51:30,2018-09-27 18:51:37,"7,239s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 18:51:37,2018-09-27 18:51:37,"0,184s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 18:51:37,2018-09-27 18:51:37,"0,145s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:51:37,2018-09-27 18:51:38,"0,135s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 18:51:38,2018-09-27 18:51:38,"0,045s",PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-09-27 18:51:38,2018-09-27 18:51:39,"1,177s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:51:39,2018-09-27 18:51:39,"0,085s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 18:51:39,2018-09-27 18:51:39,"0,010s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 18:51:39,2018-09-27 18:51:46,"7,026s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:51:46,2018-09-27 18:51:46,"0,071s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 18:51:46,2018-09-27 18:51:46,"0,010s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 18:51:46,2018-09-27 18:51:47,"0,560s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:51:47,2018-09-27 18:51:47,"0,094s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-09-27 18:51:47,2018-09-27 18:51:47,"0,105s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-09-27 18:51:47,2018-09-27 18:51:47,"0,049s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-09-27 18:51:47,2018-09-27 18:51:47,"0,066s",PASSED
"Statement - out.println(""Passed"")",Chrome 69.0.3497.100,,2018-09-27 18:51:47,2018-09-27 18:51:47,"0,012s",PASSED
