Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-09-27 18:52:56,2018-09-27 18:53:14,"18,163s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeCheckBtn,Chrome 69.0.3497.100,,2018-09-27 18:52:56,2018-09-27 18:53:13,"17,051s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 18:52:57,2018-09-27 18:53:03,"6,521s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 18:53:03,2018-09-27 18:53:04,"0,178s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 18:53:04,2018-09-27 18:53:04,"0,113s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:53:04,2018-09-27 18:53:04,"0,170s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 18:53:04,2018-09-27 18:53:04,"0,049s",PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-09-27 18:53:04,2018-09-27 18:53:05,"1,201s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:53:05,2018-09-27 18:53:05,"0,116s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 18:53:05,2018-09-27 18:53:05,"0,013s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 18:53:05,2018-09-27 18:53:12,"7,151s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:53:12,2018-09-27 18:53:12,"0,116s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 18:53:12,2018-09-27 18:53:12,"0,019s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 18:53:12,2018-09-27 18:53:13,"0,611s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:53:13,2018-09-27 18:53:13,"0,087s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-09-27 18:53:13,2018-09-27 18:53:13,"0,053s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-09-27 18:53:13,2018-09-27 18:53:13,"0,052s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-09-27 18:53:13,2018-09-27 18:53:13,"0,046s",PASSED
"Statement - out.println(""Passed"")",Chrome 69.0.3497.100,,2018-09-27 18:53:13,2018-09-27 18:53:13,"0,012s",PASSED
