Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-09-27 16:58:16,2018-09-27 16:58:36,"19,936s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeCheckBtn,Chrome 69.0.3497.100,,2018-09-27 16:58:17,2018-09-27 16:58:36,"18,716s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 16:58:17,2018-09-27 16:58:23,"5,856s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 16:58:23,2018-09-27 16:58:24,"0,332s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 16:58:24,2018-09-27 16:58:24,"0,100s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 16:58:24,2018-09-27 16:58:24,"0,170s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 16:58:24,2018-09-27 16:58:24,"0,142s",PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-09-27 16:58:24,2018-09-27 16:58:25,"1,162s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 16:58:25,2018-09-27 16:58:25,"0,103s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 16:58:25,2018-09-27 16:58:25,"0,010s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 16:58:25,2018-09-27 16:58:35,"9,233s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 16:58:35,2018-09-27 16:58:35,"0,159s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 16:58:35,2018-09-27 16:58:35,"0,009s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 16:58:35,2018-09-27 16:58:35,"0,578s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 16:58:35,2018-09-27 16:58:35,"0,137s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-09-27 16:58:35,2018-09-27 16:58:36,"0,073s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-09-27 16:58:36,2018-09-27 16:58:36,"0,094s",PASSED
"Statement - out.println(""Passed"")",Chrome 69.0.3497.100,,2018-09-27 16:58:36,2018-09-27 16:58:36,"0,014s",PASSED
