Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-09-27 16:07:18,2018-09-27 16:07:39,"20,852s",FAILED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeCheckBtn,Chrome 69.0.3497.100,,2018-09-27 16:07:18,2018-09-27 16:07:38,"19,637s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 16:07:19,2018-09-27 16:07:28,"9,281s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 16:07:28,2018-09-27 16:07:28,"0,255s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 16:07:28,2018-09-27 16:07:28,"0,132s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 16:07:28,2018-09-27 16:07:29,"0,241s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 16:07:29,2018-09-27 16:07:29,"0,077s",PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-09-27 16:07:29,2018-09-27 16:07:30,"1,187s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 16:07:30,2018-09-27 16:07:30,"0,275s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 16:07:30,2018-09-27 16:07:30,"0,018s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 16:07:30,2018-09-27 16:07:37,"6,468s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 16:07:37,2018-09-27 16:07:37,"0,104s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 16:07:37,2018-09-27 16:07:37,"0,010s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 16:07:37,2018-09-27 16:07:37,"0,635s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 16:07:37,2018-09-27 16:07:38,"0,441s",FAILED
