Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-09-27 18:29:33,2018-09-27 18:29:50,"16,922s",FAILED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeCheckBtn,Chrome 69.0.3497.100,,2018-09-27 18:29:34,2018-09-27 18:29:49,"15,706s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 18:29:34,2018-09-27 18:29:41,"6,261s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 18:29:41,2018-09-27 18:29:41,"0,244s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 18:29:41,2018-09-27 18:29:41,"0,127s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:29:41,2018-09-27 18:29:41,"0,176s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 18:29:41,2018-09-27 18:29:41,"0,059s",PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-09-27 18:29:41,2018-09-27 18:29:42,"1,194s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:29:42,2018-09-27 18:29:42,"0,092s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 18:29:42,2018-09-27 18:29:42,"0,011s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 18:29:42,2018-09-27 18:29:48,"5,916s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:29:48,2018-09-27 18:29:48,"0,067s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 18:29:48,2018-09-27 18:29:48,"0,011s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 18:29:48,2018-09-27 18:29:49,"0,606s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:29:49,2018-09-27 18:29:49,"0,428s",FAILED
