Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-10-03 11:26:37,2018-10-03 11:28:26,"1m - 49,549s",FAILED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbedCodeCheckBtn,Chrome 69.0.3497.100,,2018-10-03 11:26:37,2018-10-03 11:27:20,"42,997s",FAILED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 11:26:37,2018-10-03 11:26:38,"0,704s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 11:26:38,2018-10-03 11:27:19,"41,338s",FAILED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 11:27:19,2018-10-03 11:27:20,"0,603s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbedCodeThumbnailLinkDisplayPlayIconChecked,Chrome 69.0.3497.100,,2018-10-03 11:27:20,2018-10-03 11:28:00,"40,366s",FAILED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 11:27:20,2018-10-03 11:27:20,"0,004s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 11:27:20,2018-10-03 11:28:00,"39,548s",FAILED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 11:28:00,2018-10-03 11:28:00,"0,595s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeFullPage,Chrome 69.0.3497.100,,2018-10-03 11:28:00,2018-10-03 11:28:26,"25,681s",PASSED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 11:28:01,2018-10-03 11:28:01,"0,021s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 11:28:01,2018-10-03 11:28:10,"9,385s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 11:28:10,2018-10-03 11:28:20,"9,519s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:28:20,2018-10-03 11:28:20,"0,073s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-03 11:28:20,2018-10-03 11:28:20,"0,011s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 11:28:20,2018-10-03 11:28:20,"0,540s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:28:20,2018-10-03 11:28:20,"0,097s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-03 11:28:20,2018-10-03 11:28:25,"5,022s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 11:28:25,2018-10-03 11:28:25,"0,047s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:28:25,2018-10-03 11:28:26,"0,095s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 11:28:26,2018-10-03 11:28:26,"0,045s",PASSED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 11:28:26,2018-10-03 11:28:26,"0,583s",PASSED
