Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-10-03 11:56:58,2018-10-03 11:58:01,"1m - 3,354s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbedCodeCheckBtn,Chrome 69.0.3497.100,,2018-10-03 11:56:58,2018-10-03 11:57:14,"16,313s",PASSED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 11:56:58,2018-10-03 11:57:02,"3,648s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 11:57:02,2018-10-03 11:57:07,"4,497s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-03 11:57:07,2018-10-03 11:57:13,"6,256s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:57:13,2018-10-03 11:57:13,"0,067s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-03 11:57:13,2018-10-03 11:57:13,"0,010s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-03 11:57:13,2018-10-03 11:57:14,"0,565s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:57:14,2018-10-03 11:57:14,"0,086s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-10-03 11:57:14,2018-10-03 11:57:14,"0,057s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 11:57:14,2018-10-03 11:57:14,"0,043s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-03 11:57:14,2018-10-03 11:57:14,"0,046s",PASSED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 11:57:14,2018-10-03 11:57:14,"0,605s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbedCodeThumbnailLinkDisplayPlayIconChecked,Chrome 69.0.3497.100,,2018-10-03 11:57:14,2018-10-03 11:57:39,"24,300s",PASSED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 11:57:14,2018-10-03 11:57:16,"1,942s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 11:57:17,2018-10-03 11:57:21,"4,459s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-03 11:57:21,2018-10-03 11:57:27,"6,079s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:57:27,2018-10-03 11:57:27,"0,077s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-03 11:57:27,2018-10-03 11:57:27,"0,009s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-03 11:57:27,2018-10-03 11:57:28,"0,553s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:57:28,2018-10-03 11:57:28,"0,092s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-10-03 11:57:28,2018-10-03 11:57:28,"0,031s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 11:57:28,2018-10-03 11:57:28,"0,034s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-03 11:57:28,2018-10-03 11:57:28,"0,035s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-03 11:57:28,2018-10-03 11:57:33,"5,018s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:57:33,2018-10-03 11:57:33,"0,109s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-03 11:57:33,2018-10-03 11:57:38,"5,007s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 11:57:38,2018-10-03 11:57:38,"0,066s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 11:57:38,2018-10-03 11:57:38,"0,029s",PASSED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 11:57:38,2018-10-03 11:57:39,"0,572s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeFullPage,Chrome 69.0.3497.100,,2018-10-03 11:57:39,2018-10-03 11:58:01,"22,103s",PASSED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 11:57:39,2018-10-03 11:57:41,"1,985s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 11:57:41,2018-10-03 11:57:48,"6,759s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 11:57:48,2018-10-03 11:57:53,"5,687s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:57:53,2018-10-03 11:57:54,"0,182s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-03 11:57:54,2018-10-03 11:57:54,"0,019s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 11:57:54,2018-10-03 11:57:54,"0,557s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:57:54,2018-10-03 11:57:54,"0,202s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-03 11:57:54,2018-10-03 11:57:59,"5,001s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 11:57:59,2018-10-03 11:57:59,"0,075s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:57:59,2018-10-03 11:58:00,"0,234s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 11:58:00,2018-10-03 11:58:00,"0,199s",PASSED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 11:58:00,2018-10-03 11:58:01,"0,996s",PASSED
