Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-09-27 17:04:02,2018-09-27 17:04:25,"22,943s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeCheckBtn,Chrome 69.0.3497.100,,2018-09-27 17:04:03,2018-09-27 17:04:25,"21,758s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 17:04:03,2018-09-27 17:04:12,"8,375s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 17:04:12,2018-09-27 17:04:12,"0,250s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 17:04:12,2018-09-27 17:04:12,"0,170s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 17:04:12,2018-09-27 17:04:13,"0,364s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 17:04:13,2018-09-27 17:04:13,"0,135s",PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-09-27 17:04:13,2018-09-27 17:04:14,"1,351s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 17:04:14,2018-09-27 17:04:14,"0,145s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 17:04:14,2018-09-27 17:04:14,"0,019s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 17:04:14,2018-09-27 17:04:23,"9,297s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 17:04:23,2018-09-27 17:04:24,"0,092s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 17:04:24,2018-09-27 17:04:24,"0,010s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 17:04:24,2018-09-27 17:04:24,"0,616s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 17:04:24,2018-09-27 17:04:24,"0,184s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-09-27 17:04:24,2018-09-27 17:04:24,"0,108s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-09-27 17:04:24,2018-09-27 17:04:25,"0,101s",PASSED
"Statement - out.println(""Passed"")",Chrome 69.0.3497.100,,2018-09-27 17:04:25,2018-09-27 17:04:25,"0,012s",PASSED
