Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-09-27 16:59:28,2018-09-27 16:59:46,"18,190s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeCheckBtn,Chrome 69.0.3497.100,,2018-09-27 16:59:28,2018-09-27 16:59:45,"17,071s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 16:59:29,2018-09-27 16:59:36,"6,449s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 16:59:36,2018-09-27 16:59:36,"0,341s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 16:59:36,2018-09-27 16:59:36,"0,181s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 16:59:36,2018-09-27 16:59:36,"0,314s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 16:59:36,2018-09-27 16:59:36,"0,145s",PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-09-27 16:59:36,2018-09-27 16:59:38,"1,179s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 16:59:38,2018-09-27 16:59:38,"0,213s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 16:59:38,2018-09-27 16:59:38,"0,013s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 16:59:38,2018-09-27 16:59:45,"6,605s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 16:59:45,2018-09-27 16:59:45,"0,076s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 16:59:45,2018-09-27 16:59:45,"0,010s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 16:59:45,2018-09-27 16:59:45,"0,589s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 16:59:45,2018-09-27 16:59:45,"0,094s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-09-27 16:59:45,2018-09-27 16:59:45,"0,061s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-09-27 16:59:45,2018-09-27 16:59:45,"0,066s",PASSED
"Statement - out.println(""Passed"")",Chrome 69.0.3497.100,,2018-09-27 16:59:45,2018-09-27 16:59:45,"0,016s",PASSED
