Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-09-27 17:05:05,2018-09-27 17:05:28,"23,755s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeCheckBtn,Chrome 69.0.3497.100,,2018-09-27 17:05:05,2018-09-27 17:05:28,"22,702s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 17:05:05,2018-09-27 17:05:15,"9,885s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 17:05:15,2018-09-27 17:05:15,"0,208s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 17:05:15,2018-09-27 17:05:16,"0,113s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 17:05:16,2018-09-27 17:05:16,"0,178s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 17:05:16,2018-09-27 17:05:16,"0,069s",PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-09-27 17:05:16,2018-09-27 17:05:17,"1,247s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 17:05:17,2018-09-27 17:05:17,"0,108s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 17:05:17,2018-09-27 17:05:17,"0,009s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 17:05:17,2018-09-27 17:05:27,"9,528s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 17:05:27,2018-09-27 17:05:27,"0,099s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 17:05:27,2018-09-27 17:05:27,"0,011s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 17:05:27,2018-09-27 17:05:27,"0,573s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 17:05:27,2018-09-27 17:05:28,"0,108s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-09-27 17:05:28,2018-09-27 17:05:28,"0,068s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-09-27 17:05:28,2018-09-27 17:05:28,"0,064s",PASSED
"Statement - out.println(""Passed"")",Chrome 69.0.3497.100,,2018-09-27 17:05:28,2018-09-27 17:05:28,"0,015s",PASSED
