Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-10-03 11:52:45,2018-10-03 11:54:07,"1m - 21,204s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbedCodeCheckBtn,Chrome 69.0.3497.100,,2018-10-03 11:52:46,2018-10-03 11:53:11,"25,321s",PASSED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 11:52:46,2018-10-03 11:52:50,"4,072s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 11:52:50,2018-10-03 11:52:59,"8,606s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-03 11:52:59,2018-10-03 11:53:08,"9,491s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:53:08,2018-10-03 11:53:09,"0,620s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-03 11:53:09,2018-10-03 11:53:09,"0,008s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-03 11:53:09,2018-10-03 11:53:10,"0,565s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:53:10,2018-10-03 11:53:10,"0,202s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-10-03 11:53:10,2018-10-03 11:53:10,"0,107s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 11:53:10,2018-10-03 11:53:10,"0,113s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-03 11:53:10,2018-10-03 11:53:10,"0,179s",PASSED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 11:53:10,2018-10-03 11:53:11,"0,969s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbedCodeThumbnailLinkDisplayPlayIconChecked,Chrome 69.0.3497.100,,2018-10-03 11:53:11,2018-10-03 11:53:41,"30,318s",PASSED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 11:53:11,2018-10-03 11:53:13,"1,958s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 11:53:13,2018-10-03 11:53:20,"6,478s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-03 11:53:20,2018-10-03 11:53:30,"9,833s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:53:30,2018-10-03 11:53:30,"0,082s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-03 11:53:30,2018-10-03 11:53:30,"0,013s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-03 11:53:30,2018-10-03 11:53:30,"0,555s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:53:30,2018-10-03 11:53:30,"0,108s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-10-03 11:53:30,2018-10-03 11:53:30,"0,045s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 11:53:30,2018-10-03 11:53:30,"0,028s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-03 11:53:30,2018-10-03 11:53:30,"0,042s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-03 11:53:30,2018-10-03 11:53:36,"5,022s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:53:36,2018-10-03 11:53:36,"0,120s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-03 11:53:36,2018-10-03 11:53:41,"5,002s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 11:53:41,2018-10-03 11:53:41,"0,065s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 11:53:41,2018-10-03 11:53:41,"0,041s",PASSED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 11:53:41,2018-10-03 11:53:41,"0,743s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeFullPage,Chrome 69.0.3497.100,,2018-10-03 11:53:41,2018-10-03 11:54:07,"25,034s",PASSED
Start setup action : setupTestCase,Chrome 69.0.3497.100,,2018-10-03 11:53:42,2018-10-03 11:53:44,"1,973s",PASSED
AbstractWeb.loginKVC,Chrome 69.0.3497.100,,2018-10-03 11:53:44,2018-10-03 11:53:51,"7,226s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 11:53:51,2018-10-03 11:54:00,"8,759s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:54:00,2018-10-03 11:54:00,"0,116s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-03 11:54:00,2018-10-03 11:54:00,"0,010s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 11:54:00,2018-10-03 11:54:00,"0,533s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:54:00,2018-10-03 11:54:01,"0,169s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-03 11:54:01,2018-10-03 11:54:06,"5,002s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-03 11:54:06,2018-10-03 11:54:06,"0,026s",PASSED
click,Chrome 69.0.3497.100,,2018-10-03 11:54:06,2018-10-03 11:54:06,"0,105s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-10-03 11:54:06,2018-10-03 11:54:06,"0,046s",PASSED
Start tear down : tearDownTestCase,Chrome 69.0.3497.100,,2018-10-03 11:54:06,2018-10-03 11:54:07,"0,737s",PASSED
